I2C bus error. Verify the signal pullups.Start, hC0 [ h60 | WR ] NAK, Stop
Start, hC0 [ h60 | WR ] NAK, Stop
Start, hC0 [ h60 | WR ] NAK, Stop
Start, hC0 [ h60 | WR ] NAK, Stop
Start, hC0 [ h60 | WR ] NAK, Stop
Start, hC0 [ h60 | WR ] NAK, Stop
Start, hC0 [ h60 | WR ] NAK, Stop
Start, h90 [ h48 | WR ], h01, h02 NAK, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h00, h49 NAK, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h91 [ h48 | RD ], hB1, hB1, hB1, hB1 NAK, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop

I2C bus error. Verify the signal pullups.
I2C bus error. Verify the signal pullups.Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h10 [ h08 | WR ] NAK, Stop
Start, h12 [ h09 | WR ] NAK, Stop
Start, h14 [ h0A | WR ] NAK, Stop
Start, h16 [ h0B | WR ] NAK, Stop
Start, h18 [ h0C | WR ] NAK, Stop
Start, h1A [ h0D | WR ] NAK, Stop
Start, h1C [ h0E | WR ] NAK, Stop
Start, h1E [ h0F | WR ] NAK, Stop
Start, h20 [ h10 | WR ] NAK, Stop
Start, h22 [ h11 | WR ] NAK, Stop
Start, h24 [ h12 | WR ] NAK, Stop
Start, h26 [ h13 | WR ] NAK, Stop
Start, h28 [ h14 | WR ] NAK, Stop
Start, h2A [ h15 | WR ] NAK, Stop
Start, h2C [ h16 | WR ] NAK, Stop
Start, h2E [ h17 | WR ] NAK, Stop
Start, h30 [ h18 | WR ] NAK, Stop
Start, h32 [ h19 | WR ] NAK, Stop
Start, h34 [ h1A | WR ] NAK, Stop
Start, h36 [ h1B | WR ] NAK, Stop
Start, h38 [ h1C | WR ] NAK, Stop
Start, h3A [ h1D | WR ] NAK, Stop
Start, h3C [ h1E | WR ] NAK, Stop
Start, h3E [ h1F | WR ] NAK, Stop
Start, h40 [ h20 | WR ] NAK, Stop
Start, h42 [ h21 | WR ] NAK, Stop
Start, h44 [ h22 | WR ] NAK, Stop
Start, h46 [ h23 | WR ] NAK, Stop
Start, h48 [ h24 | WR ] NAK, Stop
Start, h4A [ h25 | WR ] NAK, Stop
Start, h4C [ h26 | WR ] NAK, Stop
Start, h4E [ h27 | WR ] NAK, Stop
Start, h50 [ h28 | WR ] NAK, Stop
Start, h52 [ h29 | WR ] NAK, Stop
Start, h54 [ h2A | WR ] NAK, Stop
Start, h56 [ h2B | WR ] NAK, Stop
Start, h58 [ h2C | WR ] NAK, Stop
Start, h5A [ h2D | WR ] NAK, Stop
Start, h5C [ h2E | WR ] NAK, Stop
Start, h5E [ h2F | WR ] NAK, Stop
Start, h60 [ h30 | WR ] NAK, Stop
Start, h62 [ h31 | WR ] NAK, Stop
Start, h64 [ h32 | WR ] NAK, Stop
Start, h66 [ h33 | WR ] NAK, Stop
Start, h68 [ h34 | WR ] NAK, Stop
Start, h6A [ h35 | WR ] NAK, Stop
Start, h6C [ h36 | WR ] NAK, Stop
Start, h6E [ h37 | WR ] NAK, Stop
Start, h70 [ h38 | WR ] NAK, Stop
Start, h72 [ h39 | WR ] NAK, Stop
Start, h74 [ h3A | WR ] NAK, Stop
Start, h76 [ h3B | WR ] NAK, Stop
Start, h78 [ h3C | WR ] NAK, Stop
Start, h7A [ h3D | WR ] NAK, Stop
Start, h7C [ h3E | WR ] NAK, Stop
Start, h7E [ h3F | WR ] NAK, Stop
Start, h80 [ h40 | WR ] NAK, Stop
Start, h82 [ h41 | WR ] NAK, Stop
Start, h84 [ h42 | WR ] NAK, Stop
Start, h86 [ h43 | WR ] NAK, Stop
Start, h88 [ h44 | WR ] NAK, Stop
Start, h8A [ h45 | WR ] NAK, Stop
Start, h8C [ h46 | WR ] NAK, Stop
Start, h8E [ h47 | WR ] NAK, Stop
Start, h90 [ h48 | WR ], Stop
Start, h92 [ h49 | WR ] NAK, Stop
Start, h94 [ h4A | WR ] NAK, Stop
Start, h96 [ h4B | WR ] NAK, Stop
Start, h98 [ h4C | WR ] NAK, Stop
Start, h9A [ h4D | WR ] NAK, Stop
Start, h9C [ h4E | WR ] NAK, Stop
Start, h9E [ h4F | WR ] NAK, Stop
Start, hA0 [ h50 | WR ] NAK, Stop
Start, hA2 [ h51 | WR ] NAK, Stop
Start, hA4 [ h52 | WR ] NAK, Stop
Start, hA6 [ h53 | WR ] NAK, Stop
Start, hA8 [ h54 | WR ] NAK, Stop
Start, hAA [ h55 | WR ] NAK, Stop
Start, hAC [ h56 | WR ] NAK, Stop
Start, hAE [ h57 | WR ] NAK, Stop
Start, hB0 [ h58 | WR ] NAK, Stop
Start, hB2 [ h59 | WR ] NAK, Stop
Start, hB4 [ h5A | WR ] NAK, Stop
Start, hB6 [ h5B | WR ] NAK, Stop
Start, hB8 [ h5C | WR ] NAK, Stop
Start, hBA [ h5D | WR ] NAK, Stop
Start, hBC [ h5E | WR ] NAK, Stop
Start, hBE [ h5F | WR ] NAK, Stop
Start, hC0 [ h60 | WR ] NAK, Stop
Start, hC2 [ h61 | WR ] NAK, Stop
Start, hC4 [ h62 | WR ] NAK, Stop
Start, hC6 [ h63 | WR ] NAK, Stop
Start, hC8 [ h64 | WR ] NAK, Stop
Start, hCA [ h65 | WR ] NAK, Stop
Start, hCC [ h66 | WR ] NAK, Stop
Start, hCE [ h67 | WR ] NAK, Stop
Start, hD0 [ h68 | WR ] NAK, Stop
Start, hD2 [ h69 | WR ] NAK, Stop
Start, hD4 [ h6A | WR ] NAK, Stop
Start, hD6 [ h6B | WR ] NAK, Stop
Start, hD8 [ h6C | WR ] NAK, Stop
Start, hDA [ h6D | WR ] NAK, Stop
Start, hDC [ h6E | WR ] NAK, Stop
Start, hDE [ h6F | WR ] NAK, Stop
Start, hE0 [ h70 | WR ] NAK, Stop
Start, hE2 [ h71 | WR ] NAK, Stop
Start, hE4 [ h72 | WR ] NAK, Stop
Start, hE6 [ h73 | WR ] NAK, Stop
Start, hE8 [ h74 | WR ] NAK, Stop
Start, hEA [ h75 | WR ] NAK, Stop
Start, hEC [ h76 | WR ] NAK, Stop
Start, hEE [ h77 | WR ] NAK, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h00, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, h90 [ h48 | WR ], h8C, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, Stop
Start, b10010001 [ b1001000 | RD ], b10110001, b10110001, b10110001, b10110001 NAK, Stop
Start, b10010001 [ b1001000 | RD ], b10110001 NAK, Stop
Start, b10010000 [ b1001000 | WR ], b10001100, b01001001 NAK, Stop
Start, b10010001 [ b1001000 | RD ], b10110001 NAK, Stop
